Module,Status,LOC,Files,Category
_architecture,LIVE,0,0,Transitively Imported
agent,LIVE,7597,19,Core Entry
asset_studio,LIVE,3617,9,Transitively Imported
autonomy,LIVE,4352,16,Transitively Imported
browser,LIVE,17933,221,Transitively Imported
channels,LIVE,9646,22,Transitively Imported
chat_logger,LIVE,0,0,Transitively Imported
cli,LIVE,42418,208,Core Entry
codex,LIVE,858,3,Transitively Imported
companion,LIVE,3020,14,Transitively Imported
config,LIVE,0,0,Transitively Imported
core,LIVE,16010,40,Core Entry
exceptions,LIVE,0,0,Transitively Imported
integrations,LIVE,6864,26,Transitively Imported
investigation,LIVE,1927,6,Transitively Imported
learning,LIVE,1188,7,Transitively Imported
library,LIVE,432,2,Transitively Imported
memory,LIVE,6806,23,Transitively Imported
messages,LIVE,8938,20,Transitively Imported
migrations,LIVE,1073,7,Transitively Imported
models,LIVE,2209,8,Core Entry
nodes,LIVE,13691,27,Transitively Imported
observability,LIVE,3511,15,Core Entry
plugins,LIVE,15932,34,Transitively Imported
policy,LIVE,588,7,Transitively Imported
preferences,LIVE,1184,3,Core Entry
realtime,LIVE,1218,16,Transitively Imported
security,LIVE,793,6,Transitively Imported
server,LIVE,34448,91,Core Entry
system,LIVE,2228,6,Transitively Imported
toml,LIVE,0,0,Transitively Imported
tools,LIVE,17327,37,Core Entry
upgrade,LIVE,329,2,Transitively Imported
vision,LIVE,698,4,Transitively Imported
api_gateway,DEAD,0,0,Unreachable
approvals,DEAD,1,1,Unreachable
audio_engine,DEAD,4847,12,Unreachable
behavior_tree,DEAD,0,0,Unreachable
benchmarks,DEAD,2763,11,Unreachable
bi_engine,DEAD,0,0,Unreachable
bioinformatics,DEAD,5440,18,Unreachable
blockchain,DEAD,6523,19,Unreachable
bootdoctor,DEAD,546,2,Unreachable
caching,DEAD,3329,12,Unreachable
cad,DEAD,4337,12,Unreachable
canvas,DEAD,0,0,Unreachable
cdn,DEAD,0,0,Unreachable
chain,DEAD,0,0,Unreachable
chatbot,DEAD,0,0,Unreachable
climate,DEAD,4266,12,Unreachable
codegen,DEAD,1189,5,Unreachable
columnar,DEAD,5003,12,Unreachable
compiler_infra,DEAD,6120,17,Unreachable
config_mgmt,DEAD,6995,24,Unreachable
containers,DEAD,6021,19,Unreachable
conversations,DEAD,1217,7,Unreachable
cqrs,DEAD,6561,19,Unreachable
crews,DEAD,0,0,Unreachable
crm,DEAD,7285,18,Unreachable
crypto,DEAD,0,0,Unreachable
cv,DEAD,4369,12,Unreachable
data_catalog,DEAD,0,0,Unreachable
data_pipeline,DEAD,5614,12,Unreachable
data_quality,DEAD,0,0,Unreachable
data_warehouse,DEAD,0,0,Unreachable
dataframe,DEAD,5080,18,Unreachable
db_internals,DEAD,5875,12,Unreachable
debug,DEAD,0,0,Unreachable
demo,DEAD,7429,7,Unreachable
devops_platform,DEAD,0,0,Unreachable
distributed_ml,DEAD,0,0,Unreachable
dns,DEAD,4678,17,Unreachable
doc_processing,DEAD,5351,12,Unreachable
docdb,DEAD,0,0,Unreachable
dsl,DEAD,5006,12,Unreachable
ecs,DEAD,0,0,Unreachable
eda,DEAD,0,0,Unreachable
email_protocol,DEAD,4470,12,Unreachable
energy,DEAD,5109,12,Unreachable
erp,DEAD,7098,18,Unreachable
etl_monitor,DEAD,0,0,Unreachable
event_bus,DEAD,5536,18,Unreachable
event_platform,DEAD,0,0,Unreachable
flows,DEAD,0,0,Unreachable
formal_verify,DEAD,0,0,Unreachable
game_ai,DEAD,6139,18,Unreachable
gaming_platform,DEAD,5314,12,Unreachable
gateway,DEAD,1,1,Unreachable
geospatial,DEAD,0,0,Unreachable
gis,DEAD,0,0,Unreachable
graph_analytics,DEAD,6106,18,Unreachable
graph_engine,DEAD,0,0,Unreachable
graphdb,DEAD,6645,19,Unreachable
graphics3d,DEAD,5469,13,Unreachable
groupchat,DEAD,1276,6,Unreachable
http2,DEAD,5919,17,Unreachable
human_loop,DEAD,1052,6,Unreachable
image_proc,DEAD,4650,12,Unreachable
intake,DEAD,1526,13,Unreachable
iot_platform,DEAD,7077,18,Unreachable
jobs,DEAD,0,0,Unreachable
knowledge_graph,DEAD,0,0,Unreachable
kvstore,DEAD,2594,12,Unreachable
load_balancer,DEAD,5987,18,Unreachable
loaders,DEAD,0,0,Unreachable
logging_framework,DEAD,4702,12,Unreachable
markdown,DEAD,4272,12,Unreachable
marketplace,DEAD,4800,12,Unreachable
