prompt_id,batch,lane,domain,title
P001,B01,"Browser and Nodes",browser,"Browser command registry scaffold"
P002,B01,"Browser and Nodes",browser,"Browser action navigate and open"
P003,B01,"Browser and Nodes",browser,"Browser action click"
P004,B01,"Browser and Nodes",browser,"Browser action type and press"
P005,B01,"Browser and Nodes",browser,"Browser action hover and focus"
P006,B01,"Browser and Nodes",browser,"Browser action scroll and scroll-into-view"
P007,B01,"Browser and Nodes",browser,"Browser action wait conditions"
P008,B01,"Browser and Nodes",browser,"Browser action evaluate script"
P009,B02,"Browser and Nodes",browser,"Browser artifact screenshot"
P010,B02,"Browser and Nodes",browser,"Browser artifact pdf export"
P011,B02,"Browser and Nodes",browser,"Browser artifact dom snapshot"
P012,B02,"Browser and Nodes",browser,"Browser artifact accessibility snapshot"
P013,B02,"Browser and Nodes",browser,"Browser telemetry console stream"
P014,B02,"Browser and Nodes",browser,"Browser telemetry network requests"
P015,B02,"Browser and Nodes",browser,"Browser telemetry response body fetch"
P016,B02,"Browser and Nodes",browser,"Browser data cookies export and import"
P017,B03,"Browser and Nodes",browser,"Browser data storage snapshot"
P018,B03,"Browser and Nodes",browser,"Browser tab management"
P019,B03,"Browser and Nodes",browser,"Browser profile create delete list"
P020,B03,"Browser and Nodes",browser,"Browser lifecycle start stop restart"
P021,B03,"Browser and Nodes",browser,"Browser download tracking"
P022,B03,"Browser and Nodes",browser,"Browser upload helper"
P023,B03,"Browser and Nodes",browser,"Browser trace start stop export"
P024,B03,"Browser and Nodes",browser,"Browser error normalization"
P025,B04,"Browser and Nodes",browser,"Browser json output contract"
P026,B04,"Browser and Nodes",browser,"Browser integration into top-level cli"
P027,B04,"Browser and Nodes",nodes,"Node host config model"
P028,B04,"Browser and Nodes",nodes,"Node host state store"
P029,B04,"Browser and Nodes",nodes,"Node host lifecycle service"
P030,B04,"Browser and Nodes",nodes,"Node cli group scaffold"
P031,B04,"Browser and Nodes",nodes,"Node command install"
P032,B04,"Browser and Nodes",nodes,"Node command run"
P033,B05,"Browser and Nodes",nodes,"Node command status"
P034,B05,"Browser and Nodes",nodes,"Node command restart"
P035,B05,"Browser and Nodes",nodes,"Node command stop"
P036,B05,"Browser and Nodes",nodes,"Node command uninstall"
P037,B05,"Browser and Nodes",nodes,"Nodes registry model"
P038,B05,"Browser and Nodes",nodes,"Nodes list and status"
P039,B05,"Browser and Nodes",nodes,"Nodes invoke action"
P040,B05,"Browser and Nodes",nodes,"Nodes notify action"
P041,B06,"Browser and Nodes",nodes,"Nodes push payload"
P042,B06,"Browser and Nodes",nodes,"Nodes camera action"
P043,B06,"Browser and Nodes",nodes,"Nodes screen capture action"
P044,B06,"Browser and Nodes",nodes,"Nodes location action"
P045,B06,"Browser and Nodes",nodes,"Nodes canvas action"
P046,B06,"Browser and Nodes",nodes,"Nodes pending approvals"
P047,B06,"Browser and Nodes",nodes,"Nodes approve action"
P048,B06,"Browser and Nodes",nodes,"Nodes reject action"
P049,B07,"Browser and Nodes",nodes,"Nodes pairing handshake"
P050,B07,"Browser and Nodes",nodes,"Nodes token rotate and revoke"
P051,B07,"Browser and Nodes",nodes,"Nodes api routes and auth"
P052,B07,"Browser and Nodes",nodes,"Nodes cli integration and parity tests"
P053,B07,"Messaging and Channels",messages,"Message schema and persistence refactor"
P054,B07,"Messaging and Channels",messages,"Message read command"
P055,B07,"Messaging and Channels",messages,"Message edit command"
P056,B07,"Messaging and Channels",messages,"Message delete command"
P057,B08,"Messaging and Channels",messages,"Message search command"
P058,B08,"Messaging and Channels",messages,"Message thread list"
P059,B08,"Messaging and Channels",messages,"Message thread reply"
P060,B08,"Messaging and Channels",messages,"Message pin command"
P061,B08,"Messaging and Channels",messages,"Message unpin command"
P062,B08,"Messaging and Channels",messages,"Message reactions add remove list"
P063,B08,"Messaging and Channels",messages,"Message poll create command"
P064,B08,"Messaging and Channels",messages,"Message poll vote and close"
P065,B09,"Messaging and Channels",messages,"Message member timeout"
P066,B09,"Messaging and Channels",messages,"Message member kick and ban"
P067,B09,"Messaging and Channels",messages,"Message role assign and remove"
P068,B09,"Messaging and Channels",messages,"Message permissions view"
P069,B09,"Messaging and Channels",messages,"Message event history"
P070,B09,"Messaging and Channels",messages,"Message broadcast with safety gate"
P071,B09,"Messaging and Channels",messages,"Message voice metadata stub"
P072,B09,"Messaging and Channels",messages,"Message channel specific route resolver"
P073,B10,"Messaging and Channels",messages,"Message retry policy and idempotency"
P074,B10,"Messaging and Channels",messages,"Message integration into cli group"
P075,B10,"Messaging and Channels",channels,"Channel provider interface contract"
P076,B10,"Messaging and Channels",channels,"Channel registry loader"
P077,B10,"Messaging and Channels",channels,"Channel provider config schema"
P078,B10,"Messaging and Channels",channels,"Channel add command"
P079,B10,"Messaging and Channels",channels,"Channel remove command"
P080,B10,"Messaging and Channels",channels,"Channel login command"
P081,B11,"Messaging and Channels",channels,"Channel logout command"
P082,B11,"Messaging and Channels",channels,"Channel logs command"
P083,B11,"Messaging and Channels",channels,"Channel capabilities command"
P084,B11,"Messaging and Channels",channels,"Channel resolve command"
P085,B11,"Messaging and Channels",channels,"Channel list enriched output"
P086,B11,"Messaging and Channels",channels,"Channel status diagnostic reasons"
P087,B11,"Messaging and Channels",channels,"Channel auth validation helper"
P088,B11,"Messaging and Channels",channels,"Channel secret resolution precedence"
P089,B12,"Messaging and Channels",channels,"Channel throttling policy"
P090,B12,"Messaging and Channels",channels,"Channel webhook bridge adapter"
P091,B12,"Messaging and Channels",channels,"Channel delivery acknowledgement mapping"
P092,B12,"Messaging and Channels",channels,"Channel failure taxonomy"
P093,B12,"Messaging and Channels",channels,"Channel retry and backoff strategy"
P094,B12,"Messaging and Channels",channels,"Channel docs generator"
P095,B12,"Messaging and Channels",channels,"Channel provider contract tests"
P096,B12,"Messaging and Channels",channels,"Channel integration into existing channels module"
P097,B13,"Plugins and Gateway API",plugins,"Plugin package bootstrap"
P098,B13,"Plugins and Gateway API",plugins,"Plugin manifest schema"
P099,B13,"Plugins and Gateway API",plugins,"Plugin manifest loader"
P100,B13,"Plugins and Gateway API",plugins,"Plugin discovery scanner"
P101,B13,"Plugins and Gateway API",plugins,"Plugin enable and disable state store"
P102,B13,"Plugins and Gateway API",plugins,"Plugin install from local path"
P103,B13,"Plugins and Gateway API",plugins,"Plugin uninstall cleanup"
P104,B13,"Plugins and Gateway API",plugins,"Plugin update planner"
P105,B14,"Plugins and Gateway API",plugins,"Plugin registry core model"
P106,B14,"Plugins and Gateway API",plugins,"Plugin command registry bridge"
P107,B14,"Plugins and Gateway API",plugins,"Plugin hook types contract"
P108,B14,"Plugins and Gateway API",plugins,"Plugin hook runner core"
P109,B14,"Plugins and Gateway API",plugins,"Plugin hook before-model"
P110,B14,"Plugins and Gateway API",plugins,"Plugin hook before-tool"
P111,B14,"Plugins and Gateway API",plugins,"Plugin hook after-tool"
P112,B14,"Plugins and Gateway API",plugins,"Plugin hook after-response"
P113,B15,"Plugins and Gateway API",plugins,"Plugin tool provider injection"
P114,B15,"Plugins and Gateway API",plugins,"Plugin service lifecycle manager"
P115,B15,"Plugins and Gateway API",plugins,"Plugin gateway handler registry"
P116,B15,"Plugins and Gateway API",plugins,"Plugin http route registry"
P117,B15,"Plugins and Gateway API",plugins,"Plugin config schema validator"
P118,B15,"Plugins and Gateway API",plugins,"Plugin diagnostics collector"
P119,B15,"Plugins and Gateway API",plugins,"Plugin doctor command"
P120,B15,"Plugins and Gateway API",plugins,"Plugin info command"
P121,B16,"Plugins and Gateway API",plugins,"Plugin list command runtime-backed"
P122,B16,"Plugins and Gateway API",plugins,"Plugin lifecycle commands runtime-backed"
P123,B16,"Plugins and Gateway API",plugins,"Sample plugin skeleton extension"
P124,B16,"Plugins and Gateway API",plugins,"Plugin authoring docs and smoke tests"
P125,B16,"Plugins and Gateway API",gateway,"Gateway ops route package scaffold"
P126,B16,"Plugins and Gateway API",gateway,"Gateway start command"
P127,B16,"Plugins and Gateway API",gateway,"Gateway restart command"
P128,B16,"Plugins and Gateway API",gateway,"Gateway install command"
P129,B17,"Plugins and Gateway API",gateway,"Gateway uninstall command"
P130,B17,"Plugins and Gateway API",gateway,"Gateway probe command"
P131,B17,"Plugins and Gateway API",gateway,"Gateway discover command"
P132,B17,"Plugins and Gateway API",gateway,"Gateway configured command"
P133,B17,"Plugins and Gateway API",gateway,"Gateway health detailed payload"
P134,B17,"Plugins and Gateway API",gateway,"Gateway usage-cost command"
P135,B17,"Plugins and Gateway API",gateway,"Gateway state persistence model"
P136,B17,"Plugins and Gateway API",gateway,"Gateway auth policy enforcement"
P137,B18,"Plugins and Gateway API",gateway,"Gateway logs filter command"
P138,B18,"Plugins and Gateway API",gateway,"Gateway metrics snapshot command"
P139,B18,"Plugins and Gateway API",gateway,"Openai compat route scaffold"
P140,B18,"Plugins and Gateway API",gateway,"Openai chat completions non-stream"
P141,B18,"Plugins and Gateway API",gateway,"Openai chat completions stream"
P142,B18,"Plugins and Gateway API",gateway,"Openai tool-call passthrough mapping"
